Item,Qty,Reference(s),Value,Footprint,Lead Pitch,Manufacturers Name,Manufacturers Part Number,Remarks
1,1,A1,Device_Audio_Electrosmith_Daisy_Seed_Rev4,daisy-seed:Device_Audio_Electrosmith_Daisy_Seed,,Electro-Smith,Daisy Seed,
2,4,"AUDIO_IN1, AUDIO_IN2, AUDIO_OUT1, AUDIO_OUT2",MONO_JACK,benjiaomodular:AudioJack_3.5mm,,Tayda Electronics,PJ-3001F,
3,6,"C1, C2, C4, C5, C7, C8",47pF,benjiaomodular:Capacitor_Disc_D3.8mm_W2.6mm_P2.50mm,2.5mm,Murata Electronics,RDE5C2A470J0M1H03A,
4,2,"C3, C6",680pF,benjiaomodular:Capacitor_Rect_L7.2mm_W2.5mm_P5.00mm,5mm,Murata Electronics,RCE7U2J681J2M1H03A,Replaced 580pF from original circuit
5,2,"C9, C10",100uF,benjiaomodular:Capacitor_Radial_D5.0mm_P2.5mm,2.5mm,KEMET,ESH107M010AC3AA,
6,4,"C11, C12, C13, C14",100nF,benjiaomodular:Capacitor_Rect_L7.2mm_W2.5mm_P5.00mm,5mm,KEMET,MMK5104K50J01L4BULK,
7,1,D1,3mm_LED,LED_THT:LED_D3.0mm,,EKINGLUX,EL304RD,3.0mm Round Through Hole LED
8,1,J1,IDC_2x05,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,2.54mm,XKB Connectivity ,X9555WV-2X05-6TV01,IDC Connector 2x05 2.54mm Pitch Straight
9,5,"POT_DRY1, POT_FBK1, POT_LPF1, POT_MOD1, POT_WET1",B10K,benjiaomodular:Potentiometer_RV09,,Alpha (Taiwan),RD901F-40-15R1-B10K,
10,5,"R1, R7, R14, R16, R21",10k,benjiaomodular:Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,7.62mm,KOA Speer,MF1/4DC1002F,
11,12,"R2, R3, R4, R5, R6, R8, R11, R12, R13, R17, R18, R19",100k,benjiaomodular:Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,7.62mm,Vishay / Dale,CCF55100KFKE36,
12,4,"R9, R10, R15, R20",1k,benjiaomodular:Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,7.62mm,KOA Speer,MF1/4DCT26A1001F,
13,2,"U1, U2",TL074,Package_DIP:DIP-14_W7.62mm,,Texas Instruments,TL074BCN,
14,2,N/A,20-pin 2.54mm Pitch Female Pin Sockets,,,Adafruit,5583,
